gamma sackin colless beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth max_width rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness diameter eigenvector mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext
il_number -0.0770766065005736 0.0345917040231448 0.174387116313869 -0.183197944685017 0.762366626033653 0.0766243358030705 0.0833183781251628 -0.0659726577727553 0.987636721963624 0.094671790681882 0.220644625540499 0.265433093044072 0.529391034513484 -0.999999999999999 1 0.219261840953586 0.462599807757083 -0.0522247566385667 0.0781289106066331 0.243090774269357 0.000979139278055782 -0.425714143136601 -0.263936282550966 -0.955971141138257 0.0481642046546055 0.459435826826539 0.363173529606465 0.430873938966382 0.477509571718812 -0.142012874640518 0.472384162140249 -0.318497415108112 0.910038376271294 -0.499242254039004 -0.382175985452869 0.38014129582065 0.938473726306579 0.103515962854042 0.103515962854042 0.0265832409714224 0.0678150099464676 -0.107375851583794 -0.398776780043189 -0.241992500625031 -0.459656076192282 -0.144448006728719 0.564842816225252 -0.0273245123626609 0.0135950592531013 0.042833686071249 -0.0701139023580369 0.0678145954354635 -0.00696071149304308 0.0630369844133174
pitchforks -0.0345866558971093 -0.265907395145118 -0.263127734252596 0.037091733707682 -0.174430343323964 -0.0108554651574356 0.015401360430268 -0.0307343300962039 0.993988785155477 -0.0167718657819892 0.0333568930711816 -0.0639350115989083 -0.0227106545183343 -0.219261840953586 0.219261840953586 1 0.331579482128739 -0.0722111333104761 0.0178083231822994 0.0471551454350957 0.064958194083231 0.0100750347528966 0.145996957107049 -0.0287490626035791 0.333775440621977 0.0693956736721526 -0.0486848604450947 -0.021450319647155 0.280980116502562 -0.0359917234964997 -0.0280356880596966 -0.0273155595341267 0.316018918059352 -0.119094888164313 -0.219840560085112 0.0410811429253654 0.314117450326789 0.0553178876904016 0.0553178876904018 0.00520250421717399 -0.0231158451792282 -0.0127605023610102 -0.0109093661093731 0.0416140781525099 -0.0597183770574805 -0.0464925984136019 0.0399328127258175 0.104382803605049 -0.0105383376246331 -0.0249439231839093 0.0120418344705201 -0.023115804797575 0.00720442498090708 -0.0441806462944471
stairs -0.0543127653349378 -0.144299717818165 -0.0649715350234226 -0.448953973317131 0.226966060739747 0.13354130173163 0.122926631252768 0.00519877528687171 0.139480097471151 0.137864073524762 0.0472951218166636 0.405187066750463 0.47426026125307 -0.462599807757083 0.462599807757083 0.331579482128739 1 0.0769510538732066 0.14074747428536 0.297048506028784 0.0343872834608369 -0.299892142520027 -0.349996815459046 -0.400559632333574 0.0387776073066376 0.335509817560926 0.324236307295498 0.682754747904584 0.88167078116407 -0.0816235959255846 0.328966076119746 -0.113070427034828 0.562886721366046 -0.875831132205727 -0.203706859748943 0.236852380183039 0.545908601692133 0.0865038668326895 0.0865038668326896 0.0695794001081126 0.123345725789524 -0.0870990196829069 -0.16067128409426 -0.150996632875371 -0.211656545733724 -0.227203069300265 0.367045813937727 0.104704178792106 0.0527826208071591 0.123029642740341 -0.0704221611032839 0.123345651538364 0.0417415478430037 0.146544768489243
laplace_spectrum_a 0.598330108613742 0.214953136036474 0.235897659480779 -0.186169738292716 0.105561297950202 0.354138761866397 0.288919638528388 0.709867162871321 -0.0560236299907483 0.61053995060245 -0.184232892845281 0.0159517596995974 -0.00158791361478946 0.0522247566385674 -0.0522247566385667 -0.0722111333104761 0.0769510538732066 1 0.0539570369130411 0.229741168551392 -0.227229808997903 -0.129105587291985 -0.39998839849053 0.0256912285514126 -0.510453663842158 -0.0823790124470881 0.229833892239397 0.175968856431232 0.113833677777946 -0.113074111615153 0.10666830465902 -0.0153418781812184 -0.0335526397098684 -0.157100536541803 0.114292151869661 0.170706917056163 -0.0401983891501769 -0.151043882304049 -0.151043882304049 0.157345136292098 -0.119660564587587 0.000769886376373143 0.00595165321893444 -0.0598915440613502 0.037671928834401 0.086357411238955 -0.0875038459579269 0.059966918960681 -0.100964407150888 0.12786968862129 -0.0515795080098875 -0.119660872971362 0.117399667866692 0.141322127964577
laplace_spectrum_p 0.216310082994834 -0.407390412566368 -0.393090952101785 0.0127133329869636 -0.0960778879772442 0.109960597943354 0.0894362007382236 0.0550797877066314 0.697633767083592 0.36889115270369 -0.0369584945167187 0.167800196998365 0.220956068940688 -0.0781289106066353 0.0781289106066331 0.0178083231822994 0.14074747428536 0.0539570369130411 1 0.323792138530346 0.205830389186324 0.0140610844426006 0.0622128638835951 -0.0468506172852157 0.194320408774043 0.288359307284287 0.142421955136062 -0.0473033830554066 -0.00227669853388543 0.457404456878153 0.0525146102109119 0.50039470098097 0.145173169256314 -0.00806816416964617 -0.291383102266242 -0.198277524795772 0.132775471552316 0.0493304887858317 0.0493304887858321 0.111578482137971 -0.163877469017829 -0.062217701900637 -0.217410883731224 -0.233229650738184 -0.260665675752084 -0.292407594966202 0.177621502087442 0.0644439698550048 -0.0955275686782678 0.0684241682603811 0.041329377947098 -0.163877611265134 0.196329135092499 -0.0325299967045951
laplace_spectrum_e 0.0390818083414634 -0.385979304652273 -0.21746076349776 -0.258090912921947 0.168050041947038 0.660262906289737 0.595906814887049 0.130237343705009 0.772469700871315 0.577510221520581 0.292926239880725 0.272336493110989 0.343074807054976 -0.243090774269359 0.243090774269357 0.0471551454350957 0.297048506028784 0.229741168551392 0.323792138530346 1 0.0402168059295784 -0.586535127505745 -0.482193828412791 -0.230623424687219 0.199921485057506 0.691135256895277 0.6862249442412 0.232046682358001 0.0999555945208139 0.189214249003176 0.61128958155754 0.105683514047206 0.260494930648157 -0.306839593175688 -0.520935335052786 0.374472584085914 0.25144005396642 0.527340953931756 0.527340953931756 0.283355197205375 0.347459446317866 -0.0864951054146621 -0.48807032641995 -0.402523499772925 -0.579853726012697 -0.786381620808165 0.582167914009518 0.104251561308376 0.327885353527536 0.345813814918782 0.247593867756425 0.347459139442203 0.194028893640149 0.382610661939158
laplace_spectrum_g 0.0463330181400321 -0.346676936532418 -0.35450813097472 -0.0010521759762637 -0.0952642517386217 -0.106545792797996 -0.0982763357615489 -0.126898126008822 0.194206272982264 -0.0277032613465914 -0.105573390196218 0.0342201234427649 0.0102074919049676 -0.000979139278059318 0.000979139278055782 0.064958194083231 0.0343872834608369 -0.227229808997903 0.205830389186324 0.0402168059295784 1 0.162123201281951 0.11209283004715 0.0236084311603442 0.326504292555985 0.16422710795308 -0.00993897073903766 -0.0570211875228831 -0.0257155097355695 0.193451930497609 0.00574757525117145 0.0886774352791964 0.0336059483400462 0.0229235164348469 -0.365095814014434 -0.0460181081490651 0.0324474401458023 -0.0204446792128654 -0.0204446792128656 -0.0473431380393629 -0.0510078927638982 -0.0575675249210004 -0.209604845315847 -0.232467170559812 -0.233808382422656 -0.0757462377956194 0.106271401308754 0.0640637614395188 -0.0507946075289889 -0.0434585238592796 -0.0418342563426636 -0.0510078152658187 -0.0240655698658064 -0.055916819145077
imbalance_steps 0.109248909973095 0.0563483434238662 -0.186410152593577 0.348002717834003 -0.52880976504026 -0.114711610183655 -0.0864614404760976 0.0587120901452984 0.999329676638213 -0.387425398909073 -0.139604606382946 -0.225827418698724 -0.410143550628116 0.425714143136601 -0.425714143136601 0.0100750347528966 -0.299892142520027 -0.129105587291985 0.0140610844426006 -0.586535127505745 0.162123201281951 1 0.742760081611977 0.479402304641435 -0.0332278634307174 -0.762655617455071 -0.875054599364997 -0.394477935024054 -0.177560536935886 -0.0605819993644871 -0.957706936247473 0.26178355977197 -0.418614240811019 0.430641286494497 0.428751981203231 -0.81734970511009 -0.409293674409127 -0.0288955623515912 -0.0288955623515909 0.0705215146800664 0.00675447517056832 0.404530689738261 0.530909526694564 0.461455583001808 0.62586249179272 0.405558690619697 -0.817863739290962 -0.11239197680153 0.0984484104491695 0.0659504302632359 0.219922223611405 0.00675496503304487 0.15981789924379 -0.0242497493844942
j_one -0.0671833924861838 -0.0699840346909295 -0.241303380631564 0.604820795654352 -0.48094674404228 -0.183372332788222 -0.141374403305343 -0.178725155533598 -0.477886801670112 -0.42649164447272 -0.0435267171637165 -0.21986229629461 -0.29986662982496 0.263936282550966 -0.263936282550966 0.145996957107049 -0.349996815459046 -0.39998839849053 0.0622128638835951 -0.482193828412791 0.11209283004715 0.742760081611977 1 0.345017825111114 0.389065136508937 -0.497389225865386 -0.833295608954287 -0.604033990108254 -0.329707141689207 0.101628660561178 -0.765387099540568 0.259623585481939 -0.265048641749403 0.599665423000306 0.23045319738005 -0.724429200686288 -0.268429403861174 0.0349596308681279 0.034959630868128 -0.011356649437079 -0.0482651866580008 0.30448280014276 0.329678915377866 0.326271652196392 0.38739702922772 0.241481294597508 -0.521373198345897 -0.171507699689975 0.0542753074498737 -0.04689544272627 0.205629851849898 -0.0482646491192733 0.0914958098591016 -0.152447322442062
b1 0.060680095824227 -0.158903713034618 -0.306888171834574 0.203276602935826 -0.890193584057423 -0.0940957767072092 -0.0955337111853195 0.0374645043154953 0.998792369423512 -0.0965261015230189 -0.254492491033423 -0.244922571134886 -0.521381183994005 0.955971141138256 -0.955971141138257 -0.0287490626035791 -0.400559632333574 0.0256912285514126 -0.0468506172852157 -0.230623424687219 0.0236084311603442 0.479402304641435 0.345017825111114 1 0.069443953575448 -0.458520188202751 -0.404008045640306 -0.459525052581209 -0.429428994086821 0.206457522610347 -0.536738419133964 0.389063243818894 -0.897293334447593 0.498690035238198 0.320208112493166 -0.446501612256324 -0.916584543535408 -0.106366217149354 -0.106366217149354 -0.0328155489872094 -0.0835346827768928 0.0941258542606495 0.382299979956926 0.209635232151886 0.441690724601199 0.115554285134263 -0.607903791056392 0.0195940275896893 -0.0273574454917521 -0.0558274510441526 0.0619975295176437 -0.0835341940877675 0.00402728884273215 -0.0839494137740164
