gamma sackin colless beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth max_width rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness diameter eigenvector mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext
phylogenetic_div -0.183092875281801 -0.151461448812159 -0.130274811314593 -0.0361631512445339 -0.0812140074276036 0.532148408899602 0.532148408899602 -0.247801558994286 0.860069521846324 -0.0763852252588174 1 0.0261049488738772 0.0487993498602337 -0.069946385138726 0.0699463851387259 0.151728835086056 0.0434079240002354 -0.197272682258291 0.0470913890072476 0.480385738787329 -0.00684697476522915 -0.156918656571294 -0.00622226837761767 0.00912262761095748 0.128643478530349 0.141218378272638 0.0599602953841514 -0.0508335072317222 -0.0307628674518763 0.119794491927804 0.120174701578476 0.141919750435895 0.0206788571582997 -0.00922294601120983 -0.0820066960883259 -0.0126078094044832 0.0332433305299854 0.767784958618565 0.767784958618566 0.519304263913601 0.541921835878642 0.196094993271573 -0.140423744391288 0.380359908816993 -0.117924433784227 -0.28311184019248 0.136102012139589 0.118276741385269 0.57133180212336 0.430197370740763 0.544506262654995 0.541921835663573 0.319080760272728 0.448478945819811
avg_ladder -0.037704832076293 -0.101232424301493 -0.0695106323956012 -0.282686237465474 0.112080426892442 0.060561337707771 0.060561337707771 -0.00866056215373798 0.135831806360544 0.139855168009101 0.0261049488738772 1 0.860509016377161 -0.242300132979413 0.242300132979413 -0.0364478226504051 0.399299678617323 0.029490130369688 0.124906468111196 0.231243218488202 -0.00225788352298898 -0.161906603323266 -0.188874421343924 -0.260718020015056 0.0753380069498234 0.278613258221066 0.221222151091183 0.500128221530633 0.40573694713731 0.0162108127655603 0.198811919456493 0.01497347928629 0.192725678883875 -0.476303652783398 -0.0811610339329535 0.086988407175698 0.198502544796766 0.0382899641107619 0.0382899641107619 0.0105426266182413 -0.00685410143998959 -0.135747721892408 -0.0677000704056642 -0.104672409999796 -0.13372656236754 -0.294565304670243 0.283275409231412 -0.0460726797380124 -0.0223239138921987 -0.0152560352696189 -0.0369336406183628 -0.00685410147475245 0.0100303748123179 0.00107718387256322
max_ladder -0.0331332213871862 -0.191311811246549 -0.135507623427148 -0.267003136940622 0.120924975232396 0.0660482120452363 0.0660482120452363 -0.0100610559637489 0.447396315982262 0.247695556762724 0.0487993498602337 0.860509016377161 1 -0.372723094851183 0.372723094851183 0.0266840217235293 0.468070181220566 0.0732885041695612 0.220123378243708 0.319630870566116 -0.0396219669097151 -0.251710109282617 -0.226776273469696 -0.377044079391508 0.124252604595173 0.420181533357141 0.327453019092359 0.508049007035735 0.422828108078609 0.118275992659454 0.284966597338371 0.10047876321706 0.309479649848023 -0.527020134830549 -0.159363715655017 0.0977498155553889 0.328665080728133 0.000398130513410504 0.00039813051341 0.00642756525355417 -0.0883397036191484 -0.269255529524974 -0.170081481471551 -0.214391114955802 -0.278888395592722 -0.329235152417761 0.402075648768463 -0.0721854987377869 -0.116901172011457 -0.0584664980872796 -0.137887042673871 -0.0883397036857561 -0.0376241581109872 -0.0351066011090886
cherries -0.0863678351591983 0.140293023104289 0.108524992948016 0.158597461031673 -0.408171339930946 0.00282250769889203 0.00282250769889203 0.0342883586531139 0.997628790576092 -0.0266968909123314 -0.069946385138726 -0.242300132979413 -0.372723094851183 1 -1 -0.443460608546656 -0.509901953272052 -0.057385774992235 -0.00724274471961617 -0.0374036619587413 -0.0130376771509817 0.0786600431430059 0.122936896716166 0.908922831504054 -0.0785918461434737 -0.141321774757493 -0.0984390089976973 -0.422589495408569 -0.58108916479902 0.101410657597745 -0.112330177304242 0.110754918614757 -0.806982683430421 0.520252596849776 0.195984418617513 -0.172197013835139 -0.85763861363423 0.0114907751214049 0.0114907751214055 -0.0341658836881457 0.00565936596593045 0.0862227677179031 0.0228797796297803 -0.0341779358017054 0.0370205377848492 0.0193208728109045 -0.155173404259796 0.0944844933691965 0.0523648273475138 0.0140554664804225 0.119478705035797 0.00565936594121189 0.0612909805677713 -0.0212728009694031
il_number 0.0863678351591981 -0.140293023104289 -0.108524992948015 -0.158597461031673 0.408171339930946 -0.00282250769889192 -0.00282250769889192 -0.0342883586531139 0.991164126386105 0.0266968909123317 0.0699463851387259 0.242300132979413 0.372723094851183 -1 1 0.443460608546655 0.509901953272052 0.0573857749922353 0.00724274471961561 0.0374036619587417 0.0130376771509809 -0.0786600431430066 -0.122936896716166 -0.908922831504054 0.0785918461434738 0.141321774757493 0.0984390089976979 0.422589495408569 0.58108916479902 -0.101410657597745 0.112330177304242 -0.110754918614757 0.806982683430421 -0.520252596849776 -0.195984418617513 0.17219701383514 0.85763861363423 -0.0114907751214048 -0.0114907751214054 0.0341658836881459 -0.00565936596593045 -0.0862227677179033 -0.0228797796297804 0.0341779358017053 -0.037020537784849 -0.0193208728109051 0.155173404259797 -0.0944844933691969 -0.0523648273475138 -0.0140554664804225 -0.119478705035797 -0.00565936594121188 -0.0612909805677711 0.0212728009694031
pitchforks -0.0444919320033198 -0.276016316875298 -0.234896054665591 0.0585172634337921 -0.160168558571351 0.041857585315322 0.041857585315322 -0.167091691296111 0.9898259920208 -0.017735689614763 0.151728835086056 -0.0364478226504051 0.0266840217235293 -0.443460608546656 0.443460608546655 1 0.39403759946032 -0.0521422749597825 0.184272220513843 0.135708696118777 0.0614770852639104 -0.0702390123492301 0.0661608800050977 -0.195050510000385 0.310653690896464 0.208905610924011 0.0873618937294815 -0.00774554999785395 0.341823731150732 0.0702267973019834 0.0889910955662506 0.0693020632004772 0.552912135275244 -0.160970433472045 -0.326476413226197 0.151945885131789 0.560197969299995 0.0912973914931147 0.0912973914931148 0.0195558397515179 0.026169612210908 -0.0746088011066606 -0.198053539557308 -0.132515534740227 -0.279862858587796 -0.093596834018526 0.164404503433222 0.122623185215038 0.0145686502289932 0.00747578427468364 -0.00512899236697935 0.026169612131468 0.00154101797401182 0.0104339560795827
stairs -0.0361131858932312 -0.145652216546379 -0.0936165612468717 -0.3548382695439 0.20304423203612 0.0739180979852714 0.0739180979852714 -0.0141459927685884 0.164590323432906 0.0955797297906603 0.0434079240002354 0.399299678617323 0.468070181220566 -0.509901953272052 0.509901953272052 0.39403759946032 1 0.0874099863690568 0.17126792683121 0.220320212320408 -0.0179574069976384 -0.203987928642862 -0.270390451045455 -0.495066377569501 0.0562540143929738 0.309224837564014 0.277785468815994 0.58859908718976 0.879587541523492 -0.065589812742682 0.250200491164326 -0.0691986076498362 0.617026179255772 -0.839830512017697 -0.173780590925688 0.180975694018893 0.624714935227609 -0.0178592440176276 -0.0178592440176279 0.0215995213981516 0.022388078000354 -0.184979054543179 -0.139396318554192 -0.132837445303481 -0.207241642528891 -0.165702339347232 0.331861954976602 0.118273393940934 -0.0540806629242691 0.0323878977805989 -0.172378402786278 0.0223880780275019 -0.0342082666698518 0.0828324539307841
laplace_spectrum_a 0.652631429542028 0.266400434709955 0.306794768925622 -0.216549401153171 0.346363222509047 0.502786279136262 0.502786279136262 0.767363485201071 -0.0159507274163878 0.682021214805831 -0.197272682258291 0.029490130369688 0.0732885041695612 -0.057385774992235 0.0573857749922353 -0.0521422749597825 0.0874099863690568 1 0.0644958221104176 0.350168549097551 -0.228413685620347 -0.248797213733022 -0.475415889925978 -0.130800620407326 -0.531217655367467 -0.00253811651630266 0.382341115684167 0.192417321421565 0.0878749547632988 -0.138109056809885 0.231086627058334 0.00410936606050707 0.0769203948265243 -0.183708674448898 0.14137031417811 0.233795310335782 0.0731387140940894 -0.237361034259575 -0.237361034259575 0.194643755410939 -0.217649843688889 -0.186631882341811 -0.0376647338064564 -0.110998704509024 -0.0216386226783822 0.0664250008803157 -0.0320622581272471 0.10255209902146 -0.222903718042979 0.091653939636618 -0.198528631541213 -0.217649843684484 0.0268823702356273 0.167243147851225
laplace_spectrum_p 0.162805213076239 -0.562142407401995 -0.579113699380107 0.0977939827791155 -0.37901961188401 0.150824086152891 0.150824086152891 0.0948127486942408 0.725377618106421 0.32036373704362 0.0470913890072476 0.124906468111196 0.220123378243708 -0.00724274471961617 0.00724274471961561 0.184272220513843 0.17126792683121 0.0644958221104176 1 0.312859909027732 0.201056483059082 0.180240832341269 0.163751756867436 0.0870615605017152 0.238689539124846 0.308479508952428 0.00730663913264794 -0.112594525836951 -0.0237903456043579 0.367818631706557 -0.12323349163243 0.564382895103198 0.15149147486039 0.0109752252552642 -0.460008368913354 -0.363822135461167 0.157516765540962 0.0371306926056813 0.0371306926056814 0.0636718458236544 -0.188056019144872 -0.260472398454151 -0.19106231525476 -0.170407060599773 -0.366075598322261 -0.219056660399463 0.146196684794605 0.0304887291595291 -0.156088817840027 0.0130533370067128 -0.078168872487073 -0.188056019282238 0.0340315728505445 0.0354144577593859
laplace_spectrum_e 0.165128914774667 -0.305263906233457 -0.191812447354572 -0.258227351527311 0.0341334170826117 0.741579181252586 0.741579181252586 0.128300058115881 0.792085978027413 0.573916923913875 0.480385738787329 0.231243218488202 0.319630870566116 -0.0374036619587413 0.0374036619587417 0.135708696118777 0.220320212320408 0.350168549097551 0.312859909027732 1 -0.113599118661285 -0.531190168186014 -0.446337459794639 -0.0281787065524583 0.113925608415414 0.681512072793338 0.656659943296162 0.113923027996597 -0.0308524586599663 0.132393565596371 0.554526586988262 0.238766134024992 0.119704279317225 -0.225695315906617 -0.328008389685685 0.269106942155731 0.0849635118880355 0.497000565656035 0.497000565656035 0.520455514580611 0.226412212133096 -0.217228122923025 -0.430434504222655 -0.274112957899464 -0.561922513229784 -0.758798827987621 0.547962700100152 0.103744973988005 0.233017001473488 0.354348788552894 0.224180561161224 0.226412211863835 0.262569683332522 0.407496573028162
